step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.012,1.4882,5.358109474182129,1.9247831797550143e-05,,,,,,,,,,,,,,,,,
20,0.024,0.8414,1.6339960098266602,2.5042006520107698e-05,,,,,,,,,,,,,,,,,
30,0.036,0.496,0.6731671690940857,2.8431381455430285e-05,,,,,,,,,,,,,,,,,
40,0.048,0.3262,0.41352856159210205,3.083618124266526e-05,,,,,,,,,,,,,,,,,
50,0.061,0.2533,0.3313049077987671,3.2701488872542726e-05,,,,,,,,,,,,,,,,,
60,0.073,0.208,0.26656574010849,3.422555617798784e-05,,,,,,,,,,,,,,,,,
70,0.085,0.1881,0.22375409305095673,3.551413672418386e-05,,,,,,,,,,,,,,,,,
80,0.097,0.1708,0.21253815293312073,3.663035596522281e-05,,,,,,,,,,,,,,,,,
90,0.109,0.1556,0.20883306860923767,3.761493111331042e-05,,,,,,,,,,,,,,,,,
100,0.121,0.1452,0.20332154631614685,3.849566359510029e-05,,,,,,,,,,,,,,,,,
110,0.133,0.1362,0.21292318403720856,3.929238303667475e-05,,,,,,,,,,,,,,,,,
120,0.145,0.126,0.14893268048763275,4.00197309005454e-05,,,,,,,,,,,,,,,,,
130,0.158,0.1224,0.1733086258172989,4.0688826074751274e-05,,,,,,,,,,,,,,,,,
140,0.17,0.1174,0.1405373513698578,4.130831144674141e-05,,,,,,,,,,,,,,,,,
150,0.182,0.1156,0.1745702475309372,4.188503853042287e-05,,,,,,,,,,,,,,,,,
160,0.194,0.1104,0.16818615794181824,4.2424530687780374e-05,,,,,,,,,,,,,,,,,
170,0.206,0.1071,0.1589624434709549,4.293130567171616e-05,,,,,,,,,,,,,,,,,
180,0.218,0.1048,0.15653036534786224,4.340910583586798e-05,,,,,,,,,,,,,,,,,
190,0.23,0.1017,0.15203262865543365,4.386106601920175e-05,,,,,,,,,,,,,,,,,
200,0.242,0.0951,0.13768713176250458,4.428983831765784e-05,,,,,,,,,,,,,,,,,
210,0.255,0.0969,0.15987958014011383,4.4697686382063995e-05,,,,,,,,,,,,,,,,,
220,0.267,0.0922,0.1441294252872467,4.508655775923231e-05,,,,,,,,,,,,,,,,,
230,0.279,0.0953,0.13138867914676666,4.5458140139258715e-05,,,,,,,,,,,,,,,,,
240,0.291,0.0915,0.12985089421272278,4.5813905623102954e-05,,,,,,,,,,,,,,,,,
250,0.303,0.0881,0.1314067542552948,4.615514594753531e-05,,,,,,,,,,,,,,,,,
260,0.315,0.0895,0.14694607257843018,4.6483000797308836e-05,,,,,,,,,,,,,,,,,
270,0.327,0.0884,0.19760403037071228,4.679848077119056e-05,,,,,,,,,,,,,,,,,
280,0.339,0.0832,0.12140078842639923,4.710248616929897e-05,,,,,,,,,,,,,,,,,
290,0.352,0.0821,0.11746981739997864,4.7395822482183336e-05,,,,,,,,,,,,,,,,,
300,0.364,0.0829,0.11700793355703354,4.767921325298042e-05,,,,,,,,,,,,,,,,,
310,0.376,0.0842,0.11699654906988144,4.795331082978169e-05,,,,,,,,,,,,,,,,,
320,0.388,0.0779,0.12511137127876282,4.8218705410337935e-05,,,,,,,,,,,,,,,,,
330,0.4,0.0805,0.1278281807899475,4.847593269455489e-05,,,,,,,,,,,,,,,,,
340,0.412,0.0761,0.11903435736894608,4.872548039427372e-05,,,,,,,,,,,,,,,,,
350,0.424,0.0787,0.13028296828269958,4.8967793799176436e-05,,,,,,,,,,,,,,,,,
360,0.436,0.0769,0.1335398554801941,4.920328055842554e-05,,,,,,,,,,,,,,,,,
370,0.448,0.0772,0.10725122690200806,4.94323148070198e-05,,,,,,,,,,,,,,,,,
380,0.461,0.0736,0.12249048054218292,4.965524074175931e-05,,,,,,,,,,,,,,,,,
390,0.473,0.075,0.10998427122831345,4.9872375732631416e-05,,,,,,,,,,,,,,,,,
400,0.485,0.0746,0.12691424787044525,5e-05,,,,,,,,,,,,,,,,,
410,0.497,0.0712,0.12386798858642578,5e-05,,,,,,,,,,,,,,,,,
412,0.499,,,,0.2214650766124521,0.1495934958937786,0.3949191685417675,0.4646781789138469,0.45251191780842015,0.476118271367884,0.5906234895590944,0.3928442283853205,184.8325,7.574,0.238,,,,,,
