step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
970,0.237,0.0259,0.06712354719638824,4.5348366434842085e-05,,,,,,,,,,,
980,0.24,0.0248,0.09469631314277649,4.54159970156816e-05,,,,,,,,,,,
990,0.242,0.0254,0.07766736298799515,4.548294097978415e-05,,,,,,,,,,,
1000,0.244,0.0245,0.06157007813453674,4.554921212884325e-05,,,,,,,,,,,
1010,0.247,0.0245,0.07071196287870407,4.561482385254779e-05,,,,,,,,,,,
1020,0.249,0.0255,0.052352819591760635,4.567978914481928e-05,,,,,,,,,,,
1030,0.252,0.0248,0.07851973921060562,4.5744120619257097e-05,,,,,,,,,,,
1040,0.254,0.0246,0.07286337018013,4.580783052383749e-05,,,,,,,,,,,
1050,0.257,0.0239,0.06733261048793793,4.587093075490929e-05,,,,,,,,,,,
1060,0.259,0.0231,0.0643019899725914,4.593343287052624e-05,,,,,,,,,,,
1070,0.262,0.0246,0.05783965438604355,4.599534810315339e-05,,,,,,,,,,,
1080,0.264,0.0268,0.10804854333400726,4.605668737178248e-05,,,,,,,,,,,
1090,0.267,0.0232,0.07687986642122269,4.611746129348898e-05,,,,,,,,,,,
1100,0.269,0.0241,0.07804785668849945,4.617768019446139e-05,,,,,,,,,,,
1110,0.271,0.023,0.06276657432317734,4.6237354120531426e-05,,,,,,,,,,,
1120,0.274,0.0239,0.062248941510915756,4.6296492847232025e-05,,,,,,,,,,,
1130,0.276,0.0247,0.0666843056678772,4.6355105889408284e-05,,,,,,,,,,,
1140,0.279,0.0241,0.06436809152364731,4.6413202510405015e-05,,,,,,,,,,,
1150,0.281,0.025,0.07523065060377121,4.647079173085303e-05,,,,,,,,,,,
1160,0.284,0.0239,0.07958796620368958,4.6527882337075124e-05,,,,,,,,,,,
1170,0.286,0.0226,0.0726354718208313,4.658448288913123e-05,,,,,,,,,,,
1180,0.289,0.0219,0.062457289546728134,4.664060172852118e-05,,,,,,,,,,,
1190,0.291,0.0218,0.05824245139956474,4.669624698556256e-05,,,,,,,,,,,
1200,0.293,0.0215,0.053701769560575485,4.675142658645972e-05,,,,,,,,,,,
1210,0.296,0.0211,0.06920725107192993,4.680614826007953e-05,,,,,,,,,,,
1220,0.298,0.0235,0.060370225459337234,4.6860419544448284e-05,,,,,,,,,,,
1230,0.301,0.0206,0.05543156713247299,4.6914247792983396e-05,,,,,,,,,,,
1240,0.303,0.0221,0.07326601445674896,4.696764018047281e-05,,,,,,,,,,,
1250,0.306,0.0238,0.07937656342983246,4.702060370881422e-05,,,,,,,,,,,
1260,0.308,0.0219,0.0635635182261467,4.707314521252576e-05,,,,,,,,,,,
1270,0.311,0.0212,0.07476425170898438,4.712527136403863e-05,,,,,,,,,,,
1280,0.313,0.0218,0.05428004637360573,4.7176988678782456e-05,,,,,,,,,,,
1290,0.315,0.0218,0.06996006518602371,4.722830352007253e-05,,,,,,,,,,,
1300,0.318,0.0217,0.06525136530399323,4.727922210380846e-05,,,,,,,,,,,
1310,0.32,0.0212,0.0649261623620987,4.732975050299282e-05,,,,,,,,,,,
1320,0.323,0.0214,0.06801315397024155,4.737989465207785e-05,,,,,,,,,,,
1330,0.325,0.0224,0.052913349121809006,4.74296603511483e-05,,,,,,,,,,,
1340,0.328,0.0202,0.058367934077978134,4.747905326994741e-05,,,,,,,,,,,
1350,0.33,0.0217,0.06931789219379425,4.752807895175345e-05,,,,,,,,,,,
1360,0.333,0.0226,0.07527568936347961,4.757674281711298e-05,,,,,,,,,,,
