step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.006,0.7518,1.6996396780014038,1.72885077664768e-05,,,,,,,,,,,,,,,,,
20,0.012,0.3519,0.6302316784858704,2.2492867184456013e-05,,,,,,,,,,,,,,,,,
30,0.018,0.2006,0.34146854281425476,2.553722228424884e-05,,,,,,,,,,,,,,,,,
40,0.025,0.1306,0.18727107346057892,2.7697226602435227e-05,,,,,,,,,,,,,,,,,
50,0.031,0.1036,0.1622163951396942,2.937265611497438e-05,,,,,,,,,,,,,,,,,
60,0.037,0.0899,0.1511569619178772,3.074158170222805e-05,,,,,,,,,,,,,,,,,
70,0.043,0.0807,0.10711155086755753,3.18989917946976e-05,,,,,,,,,,,,,,,,,
80,0.049,0.0753,0.13044506311416626,3.290158602041444e-05,,,,,,,,,,,,,,,,,
90,0.055,0.071,0.12373018264770508,3.378593680202088e-05,,,,,,,,,,,,,,,,,
100,0.062,0.0651,0.12525565922260284,3.45770155329536e-05,,,,,,,,,,,,,,,,,
110,0.068,0.0634,0.10525678843259811,3.5292633291786904e-05,,,,,,,,,,,,,,,,,
120,0.074,0.0579,0.0950372964143753,3.5945941120207267e-05,,,,,,,,,,,,,,,,,
130,0.08,0.0574,0.09592380374670029,3.654692606424874e-05,,,,,,,,,,,,,,,,,
140,0.086,0.0561,0.09929882735013962,3.7103351212676814e-05,,,,,,,,,,,,,,,,,
150,0.092,0.055,0.09105997532606125,3.7621370632746415e-05,,,,,,,,,,,,,,,,,
160,0.099,0.0528,0.08671925961971283,3.810594543839366e-05,,,,,,,,,,,,,,,,,
170,0.105,0.0484,0.0743197649717331,3.856113349997809e-05,,,,,,,,,,,,,,,,,
180,0.111,0.0466,0.07989344000816345,3.899029622000009e-05,,,,,,,,,,,,,,,,,
190,0.117,0.047,0.08244052529335022,3.939624932795996e-05,,,,,,,,,,,,,,,,,
200,0.123,0.046,0.08376836776733398,3.978137495093281e-05,,,,,,,,,,,,,,,,,
210,0.129,0.0431,0.07279583066701889,4.014770631246963e-05,,,,,,,,,,,,,,,,,
220,0.135,0.0448,0.08623228967189789,4.0496992709766115e-05,,,,,,,,,,,,,,,,,
230,0.142,0.0439,0.07130227237939835,4.08307500352946e-05,,,,,,,,,,,,,,,,,
240,0.148,0.0407,0.07081501930952072,4.1150300538186484e-05,,,,,,,,,,,,,,,,,
250,0.154,0.0416,0.10770566761493683,4.145680446347196e-05,,,,,,,,,,,,,,,,,
