wall_time,step,tag,value
1741992043.8675053,10,train/loss,0.35510000586509705
1741992094.2167914,20,train/loss,0.08150000125169754
1741992144.6670241,30,train/loss,0.05180000141263008
1741992195.002085,40,train/loss,0.038600001484155655
1741992243.8996012,50,train/loss,0.034699998795986176
1741992294.2399588,60,train/loss,0.03180000185966492
1741992345.2924142,70,train/loss,0.02979999966919422
1741992395.512332,80,train/loss,0.028599999845027924
1741992445.6275845,90,train/loss,0.030899999663233757
1741992494.957008,100,train/loss,0.027899999171495438
1741992546.073839,110,train/loss,0.028599999845027924
1741992596.869394,120,train/loss,0.027300000190734863
1741992647.116665,130,train/loss,0.027400000020861626
1741992697.3359513,140,train/loss,0.026599999517202377
1741992747.6816053,150,train/loss,0.027799999341368675
1741992798.4481354,160,train/loss,0.026399999856948853
1741992848.1922772,170,train/loss,0.025499999523162842
1741992898.434295,180,train/loss,0.023499999195337296
1741992948.081543,190,train/loss,0.02539999969303608
1741992997.7562873,200,train/loss,0.024800000712275505
1741993046.9864497,210,train/loss,0.024800000712275505
1741993096.750717,220,train/loss,0.025100000202655792
1741993146.2406995,230,train/loss,0.02459999918937683
1741993196.0883055,240,train/loss,0.02370000071823597
1741993246.2943947,250,train/loss,0.02449999935925007
1741993296.5591807,260,train/loss,0.023600000888109207
1741993346.9487278,270,train/loss,0.02419999986886978
1741993397.2168682,280,train/loss,0.023600000888109207
1741993447.1087077,290,train/loss,0.02410000003874302
1741993497.169672,300,train/loss,0.02280000038444996
1741993546.5693817,310,train/loss,0.021900000050663948
1741993597.3662062,320,train/loss,0.02329999953508377
1741993647.1262085,330,train/loss,0.02290000021457672
1741993696.8397183,340,train/loss,0.02419999986886978
1741993746.9019153,350,train/loss,0.023399999365210533
1741993796.661454,360,train/loss,0.022700000554323196
1741993846.3815992,370,train/loss,0.02459999918937683
1741993896.557321,380,train/loss,0.023000000044703484
1741993946.9634302,390,train/loss,0.02419999986886978
1741993996.3011713,400,train/loss,0.023000000044703484
1741994046.5033398,410,train/loss,0.025100000202655792
1741994095.8289711,420,train/loss,0.024299999698996544
1741994146.2643163,430,train/loss,0.02319999970495701
1741994196.572822,440,train/loss,0.02459999918937683
1741994246.7022958,450,train/loss,0.02319999970495701
1741994296.7596452,460,train/loss,0.02239999920129776
1741994347.2544048,470,train/loss,0.022299999371170998
1741994397.399865,480,train/loss,0.02290000021457672
1741994447.7644415,490,train/loss,0.02329999953508377
1741994498.0919642,500,train/loss,0.0215000007301569
1741994547.901221,510,train/loss,0.0215000007301569
1741994597.5450394,520,train/loss,0.021199999377131462
1741994646.9038892,530,train/loss,0.023800000548362732
1741994697.4817393,540,train/loss,0.023000000044703484
1741994748.097311,550,train/loss,0.02329999953508377
1741994797.9016283,560,train/loss,0.02070000022649765
1741994847.8273022,570,train/loss,0.02250000089406967
1741994898.0392199,580,train/loss,0.022099999710917473
1741994947.8519213,590,train/loss,0.022600000724196434
1741994997.2289712,600,train/loss,0.021900000050663948
1741995046.3562164,610,train/loss,0.022299999371170998
1741995096.309469,620,train/loss,0.022299999371170998
1741995146.267051,630,train/loss,0.02290000021457672
1741995196.6578457,640,train/loss,0.023399999365210533
1741995246.7589917,650,train/loss,0.022700000554323196
1741995296.1254735,660,train/loss,0.02160000056028366
1741995345.7830215,670,train/loss,0.023099999874830246
1741995396.3604395,680,train/loss,0.023800000548362732
1741995446.299513,690,train/loss,0.02199999988079071
1741995495.7387996,700,train/loss,0.02070000022649765
1741995545.742522,710,train/loss,0.021800000220537186
1741995595.7056966,720,train/loss,0.023399999365210533
1741995646.6376143,730,train/loss,0.02370000071823597
1741995696.309044,740,train/loss,0.020999999716877937
1741995745.9997883,750,train/loss,0.021800000220537186
1741995795.7110322,760,train/loss,0.021700000390410423
1741995845.6234217,770,train/loss,0.021700000390410423
1741995896.1002004,780,train/loss,0.021800000220537186
1741995946.1191661,790,train/loss,0.021700000390410423
1741995996.2598243,800,train/loss,0.02160000056028366
1741996046.437561,810,train/loss,0.021800000220537186
1741996338.3346467,820,train/loss,0.021400000900030136
1741996388.3041532,830,train/loss,0.0215000007301569
1741996438.4854062,840,train/loss,0.0210999995470047
1741996488.332861,850,train/loss,0.019300000742077827
1741996538.6394837,860,train/loss,0.021800000220537186
1741996588.5595,870,train/loss,0.02199999988079071
1741996637.9006968,880,train/loss,0.019999999552965164
1741996687.718656,890,train/loss,0.021700000390410423
1741996738.0180118,900,train/loss,0.021299999207258224
1741996788.0030308,910,train/loss,0.02019999921321869
1741996837.6370218,920,train/loss,0.0215000007301569
1741996887.5325289,930,train/loss,0.021199999377131462
1741996937.3222237,940,train/loss,0.0203000009059906
1741996987.3712027,950,train/loss,0.019899999722838402
1741997037.416239,960,train/loss,0.02019999921321869
1741997086.5312896,970,train/loss,0.020099999383091927
1741997136.1852782,980,train/loss,0.020800000056624413
1741997185.7296672,990,train/loss,0.019200000911951065
1741997235.1570132,1000,train/loss,0.021299999207258224
1741997285.1646647,1010,train/loss,0.019600000232458115
1741997335.2146962,1020,train/loss,0.021700000390410423
1741997385.3949249,1030,train/loss,0.02070000022649765
1741997435.1864674,1040,train/loss,0.020800000056624413
1741997484.4135237,1050,train/loss,0.019200000911951065
1741997534.1241271,1060,train/loss,0.019200000911951065
1741997582.9194276,1070,train/loss,0.01979999989271164
1741997632.5696583,1080,train/loss,0.019899999722838402
1741997681.9160187,1090,train/loss,0.019899999722838402
1741997731.6194155,1100,train/loss,0.020600000396370888
1741997781.7433858,1110,train/loss,0.02070000022649765
1741997832.1515722,1120,train/loss,0.02070000022649765
1741997882.166694,1130,train/loss,0.019200000911951065
1741997932.402654,1140,train/loss,0.019200000911951065
1741997983.626061,1150,train/loss,0.02019999921321869
1741998033.7272406,1160,train/loss,0.020899999886751175
1741998083.6731298,1170,train/loss,0.021199999377131462
1741998133.1613832,1180,train/loss,0.020500000566244125
1741998183.6052785,1190,train/loss,0.020999999716877937
1741998233.9176323,1200,train/loss,0.020600000396370888
1741998284.2964523,1210,train/loss,0.021400000900030136
1741998334.173266,1220,train/loss,0.02239999920129776
1741998383.4732502,1230,train/loss,0.023499999195337296
1741998432.9904292,1240,train/loss,0.021299999207258224
1741998483.0738401,1250,train/loss,0.021900000050663948
1741998532.4034958,1260,train/loss,0.02019999921321869
1741998582.63704,1270,train/loss,0.019999999552965164
1741998633.5523806,1280,train/loss,0.02459999918937683
1741998682.5594394,1290,train/loss,0.02329999953508377
1741998732.3946586,1300,train/loss,0.021900000050663948
1741998782.6937904,1310,train/loss,0.021400000900030136
1741998833.1787968,1320,train/loss,0.020999999716877937
1741998883.3356733,1330,train/loss,0.021299999207258224
1741998933.2441597,1340,train/loss,0.020500000566244125
1741998982.804173,1350,train/loss,0.019300000742077827
1741999032.805172,1360,train/loss,0.019899999722838402
1741999082.7330043,1370,train/loss,0.0203000009059906
1741999132.8047318,1380,train/loss,0.02019999921321869
1741999182.2639112,1390,train/loss,0.01860000006854534
1741999232.4700081,1400,train/loss,0.020600000396370888
1741999282.8765974,1410,train/loss,0.01940000057220459
1741999333.2631474,1420,train/loss,0.01940000057220459
1741999383.1077788,1430,train/loss,0.019899999722838402
1741999433.0086298,1440,train/loss,0.01850000023841858
1741999482.5951285,1450,train/loss,0.02070000022649765
1741999532.6351228,1460,train/loss,0.020400000736117363
1741999582.8547816,1470,train/loss,0.019200000911951065
1741999631.737758,1480,train/loss,0.019600000232458115
1741999681.455116,1490,train/loss,0.01979999989271164
1741999731.5235472,1500,train/loss,0.02019999921321869
1741999781.0973935,1510,train/loss,0.018699999898672104
1741999831.005021,1520,train/loss,0.019899999722838402
1741999880.6655557,1530,train/loss,0.017799999564886093
1741999930.4091103,1540,train/loss,0.020500000566244125
1741999980.5444818,1550,train/loss,0.01899999938905239
1742000030.3869624,1560,train/loss,0.019300000742077827
1742000080.312338,1570,train/loss,0.019099999219179153
1742000130.9689305,1580,train/loss,0.01979999989271164
1742000180.915656,1590,train/loss,0.019500000402331352
1742000230.3152525,1600,train/loss,0.019700000062584877
1742000279.9495618,1610,train/loss,0.01899999938905239
1742000329.624008,1620,train/loss,0.018799999728798866
1742000622.9182346,1630,train/loss,0.016499999910593033
1742000672.4935505,1640,train/loss,0.014299999922513962
1742000722.4361289,1650,train/loss,0.014399999752640724
1742000772.0367486,1660,train/loss,0.013899999670684338
1742000821.7277136,1670,train/loss,0.013700000010430813
1742000871.4289832,1680,train/loss,0.013700000010430813
1742000921.5530639,1690,train/loss,0.01360000018030405
1742000971.883962,1700,train/loss,0.014000000432133675
1742001020.4686773,1710,train/loss,0.013399999588727951
1742001071.1306639,1720,train/loss,0.014399999752640724
1742001120.1972535,1730,train/loss,0.013000000268220901
1742001170.2424815,1740,train/loss,0.013299999758601189
1742001219.2297318,1750,train/loss,0.013799999840557575
1742001268.923683,1760,train/loss,0.014399999752640724
1742001319.0467746,1770,train/loss,0.013299999758601189
1742001368.3892953,1780,train/loss,0.01269999984651804
1742001418.1452308,1790,train/loss,0.012799999676644802
1742001467.981483,1800,train/loss,0.013299999758601189
1742001517.515772,1810,train/loss,0.013199999928474426
1742001567.8955822,1820,train/loss,0.014100000262260437
1742001617.337225,1830,train/loss,0.012900000438094139
1742001666.9924057,1840,train/loss,0.013100000098347664
1742001716.752789,1850,train/loss,0.012500000186264515
1742001766.1986046,1860,train/loss,0.0142000000923872
1742001815.3131897,1870,train/loss,0.012600000016391277
1742001865.4266577,1880,train/loss,0.013399999588727951
1742001915.736539,1890,train/loss,0.014399999752640724
1742001965.5136333,1900,train/loss,0.01360000018030405
1742002015.1802309,1910,train/loss,0.013000000268220901
1742002064.9246197,1920,train/loss,0.013399999588727951
1742002114.8570466,1930,train/loss,0.014000000432133675
1742002163.8944976,1940,train/loss,0.012900000438094139
1742002213.4821262,1950,train/loss,0.013899999670684338
1742002263.3899472,1960,train/loss,0.013500000350177288
1742002313.3177996,1970,train/loss,0.01360000018030405
1742002362.5161357,1980,train/loss,0.013700000010430813
1742002412.160327,1990,train/loss,0.013299999758601189
1742002461.3112364,2000,train/loss,0.013399999588727951
1742002510.944707,2010,train/loss,0.014600000344216824
1742002561.0816784,2020,train/loss,0.013799999840557575
1742002611.0262337,2030,train/loss,0.013899999670684338
1742002660.3794153,2040,train/loss,0.014100000262260437
1742002709.885349,2050,train/loss,0.014000000432133675
1742002759.3797057,2060,train/loss,0.013899999670684338
1742002808.66854,2070,train/loss,0.012799999676644802
1742002858.488337,2080,train/loss,0.012799999676644802
1742002907.7139118,2090,train/loss,0.013399999588727951
1742002957.6131954,2100,train/loss,0.014299999922513962
1742003007.5826218,2110,train/loss,0.013899999670684338
1742003058.2352543,2120,train/loss,0.013799999840557575
1742003108.088175,2130,train/loss,0.013500000350177288
1742003157.8578317,2140,train/loss,0.013899999670684338
1742003206.942453,2150,train/loss,0.013500000350177288
1742003256.3856893,2160,train/loss,0.013899999670684338
1742003305.7546551,2170,train/loss,0.013299999758601189
1742003355.733652,2180,train/loss,0.014100000262260437
1742003405.570039,2190,train/loss,0.01360000018030405
1742003455.1161044,2200,train/loss,0.013799999840557575
1742003504.3721685,2210,train/loss,0.014100000262260437
1742003554.0868444,2220,train/loss,0.013799999840557575
1742003604.0141492,2230,train/loss,0.013100000098347664
1742003654.1045046,2240,train/loss,0.0142000000923872
1742003702.999406,2250,train/loss,0.013500000350177288
1742003753.2583299,2260,train/loss,0.014100000262260437
1742003803.1352873,2270,train/loss,0.013700000010430813
1742003853.335474,2280,train/loss,0.013299999758601189
1742003902.8802996,2290,train/loss,0.013199999928474426
1742003952.7514088,2300,train/loss,0.013700000010430813
1742004002.8144438,2310,train/loss,0.01360000018030405
1742004053.2794988,2320,train/loss,0.01360000018030405
1742004102.984601,2330,train/loss,0.0142000000923872
1742004153.598898,2340,train/loss,0.01489999983459711
1742004202.9713998,2350,train/loss,0.014399999752640724
1742004252.7547548,2360,train/loss,0.01360000018030405
1742004302.6387453,2370,train/loss,0.013700000010430813
1742004352.2878566,2380,train/loss,0.013500000350177288
1742004402.0475104,2390,train/loss,0.01360000018030405
1742004452.17328,2400,train/loss,0.014000000432133675
1742004502.690123,2410,train/loss,0.014100000262260437
1742004553.3516974,2420,train/loss,0.015200000256299973
1742004603.2833073,2430,train/loss,0.014600000344216824
1742004895.557603,2440,train/loss,0.014000000432133675
1742004943.8784137,2450,train/loss,0.013899999670684338
1742004994.0668757,2460,train/loss,0.013799999840557575
1742005044.2743464,2470,train/loss,0.01360000018030405
1742005094.443923,2480,train/loss,0.014299999922513962
1742005145.198073,2490,train/loss,0.013899999670684338
1742005195.5454986,2500,train/loss,0.014700000174343586
1742005246.3929214,2510,train/loss,0.014100000262260437
1742005295.7284708,2520,train/loss,0.01360000018030405
1742005345.9579098,2530,train/loss,0.014499999582767487
1742005395.596805,2540,train/loss,0.013299999758601189
1742005445.2600915,2550,train/loss,0.013399999588727951
1742005494.7497187,2560,train/loss,0.014600000344216824
1742005544.6457791,2570,train/loss,0.013199999928474426
1742005594.7476296,2580,train/loss,0.014700000174343586
1742005644.57238,2590,train/loss,0.013399999588727951
1742005695.2981858,2600,train/loss,0.0142000000923872
1742005745.5467434,2610,train/loss,0.014000000432133675
1742005795.562828,2620,train/loss,0.014700000174343586
1742005845.2152646,2630,train/loss,0.013199999928474426
1742005895.3180106,2640,train/loss,0.014299999922513962
1742005945.381639,2650,train/loss,0.014000000432133675
1742005995.779277,2660,train/loss,0.013700000010430813
1742006045.2147875,2670,train/loss,0.013799999840557575
1742006094.6896722,2680,train/loss,0.014399999752640724
1742006144.4367874,2690,train/loss,0.014499999582767487
1742006194.553985,2700,train/loss,0.015300000086426735
1742006244.516879,2710,train/loss,0.013000000268220901
1742006293.8395233,2720,train/loss,0.01510000042617321
1742006342.9487798,2730,train/loss,0.014600000344216824
1742006392.2381616,2740,train/loss,0.013299999758601189
1742006441.3015044,2750,train/loss,0.013399999588727951
1742006490.8028126,2760,train/loss,0.014000000432133675
1742006540.127706,2770,train/loss,0.014600000344216824
1742006589.0842803,2780,train/loss,0.0142000000923872
1742006639.291137,2790,train/loss,0.014100000262260437
1742006689.4990013,2800,train/loss,0.014000000432133675
1742006739.0423706,2810,train/loss,0.013799999840557575
1742006789.0791838,2820,train/loss,0.012199999764561653
1742006839.2761428,2830,train/loss,0.014600000344216824
1742006889.27557,2840,train/loss,0.013000000268220901
1742006940.2534642,2850,train/loss,0.0142000000923872
1742006989.4626272,2860,train/loss,0.014100000262260437
1742007039.0945299,2870,train/loss,0.013199999928474426
1742007089.7797387,2880,train/loss,0.014499999582767487
1742007140.2308793,2890,train/loss,0.01360000018030405
1742007190.5375912,2900,train/loss,0.013500000350177288
1742007240.0047314,2910,train/loss,0.01360000018030405
1742007289.927113,2920,train/loss,0.014600000344216824
1742007339.5055773,2930,train/loss,0.014999999664723873
1742007389.4692469,2940,train/loss,0.0142000000923872
1742007439.8370056,2950,train/loss,0.014299999922513962
1742007488.9631143,2960,train/loss,0.014000000432133675
1742007538.8791177,2970,train/loss,0.014600000344216824
1742007588.6900036,2980,train/loss,0.014000000432133675
1742007639.2105322,2990,train/loss,0.014100000262260437
1742007688.7283745,3000,train/loss,0.013199999928474426
1742007737.9700623,3010,train/loss,0.01360000018030405
1742007788.0391672,3020,train/loss,0.013700000010430813
1742007837.4908187,3030,train/loss,0.01360000018030405
1742007887.6696727,3040,train/loss,0.014399999752640724
1742007938.059977,3050,train/loss,0.013500000350177288
1742007988.3379934,3060,train/loss,0.014499999582767487
1742008038.4239423,3070,train/loss,0.013500000350177288
1742008089.433397,3080,train/loss,0.013500000350177288
1742008139.6721835,3090,train/loss,0.013199999928474426
1742008189.789739,3100,train/loss,0.01360000018030405
1742008240.3751056,3110,train/loss,0.01360000018030405
1742008289.270123,3120,train/loss,0.013000000268220901
1742008338.9977114,3130,train/loss,0.014100000262260437
1742008388.754783,3140,train/loss,0.013199999928474426
1742008437.844673,3150,train/loss,0.012799999676644802
1742008487.3340273,3160,train/loss,0.012600000016391277
1742008536.9225218,3170,train/loss,0.013799999840557575
1742008586.4043632,3180,train/loss,0.013199999928474426
1742008637.0221188,3190,train/loss,0.013899999670684338
1742008686.4600039,3200,train/loss,0.013100000098347664
1742008735.36067,3210,train/loss,0.0142000000923872
1742008784.8347738,3220,train/loss,0.013700000010430813
1742008834.228602,3230,train/loss,0.013299999758601189
1742008884.6155617,3240,train/loss,0.013799999840557575
1742009177.3200474,3250,train/loss,0.012600000016391277
1742009226.9126594,3260,train/loss,0.007000000216066837
1742009275.8699675,3270,train/loss,0.007499999832361937
1742009325.6644568,3280,train/loss,0.007000000216066837
1742009375.7392054,3290,train/loss,0.007400000002235174
