step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,0.004,1.2434,5.349239826202393,1.639973320288706e-05,,,,,,,,,,,
20,0.009,0.7306,1.7821224927902222,2.1336544817842598e-05,,,,,,,,,,,
30,0.013,0.4418,0.8082812428474426,2.422439448571624e-05,,,,,,,,,,,
40,0.017,0.2703,0.46307051181793213,2.6273356432798137e-05,,,,,,,,,,,
50,0.021,0.1932,0.33885520696640015,2.7862654790818577e-05,,,,,,,,,,,
60,0.026,0.147,0.23028147220611572,2.9161206100671778e-05,,,,,,,,,,,
70,0.03,0.1199,0.1964624524116516,3.0259115589403642e-05,,,,,,,,,,,
80,0.034,0.1132,0.2227429300546646,3.121016804775367e-05,,,,,,,,,,,
90,0.039,0.0954,0.19533076882362366,3.204905576854542e-05,,,,,,,,,,,
100,0.043,0.0923,0.17218057811260223,3.279946640577412e-05,,,,,,,,,,,
110,0.047,0.0843,0.1563047617673874,3.3478295398920115e-05,,,,,,,,,,,
120,0.052,0.0861,0.13627630472183228,3.4098017715627316e-05,,,,,,,,,,,
130,0.056,0.0792,0.1565299928188324,3.46681069838488e-05,,,,,,,,,,,
140,0.06,0.075,0.14059844613075256,3.519592720435918e-05,,,,,,,,,,,
150,0.064,0.0696,0.14155003428459167,3.5687316073647756e-05,,,,,,,,,,,
160,0.069,0.0689,0.12121110409498215,3.6146979662709214e-05,,,,,,,,,,,
170,0.073,0.0652,0.15062376856803894,3.657876723327091e-05,,,,,,,,,,,
180,0.077,0.0685,0.13730685412883759,3.698586738350096e-05,,,,,,,,,,,
190,0.082,0.0654,0.14336106181144714,3.7370951090744555e-05,,,,,,,,,,,
200,0.086,0.0614,0.14213570952415466,3.7736278020729654e-05,,,,,,,,,,,
210,0.09,0.0599,0.1053660437464714,3.8083776872232825e-05,,,,,,,,,,,
220,0.094,0.0603,0.11703664064407349,3.841510701387565e-05,,,,,,,,,,,
230,0.099,0.0564,0.13624587655067444,3.873170640852032e-05,,,,,,,,,,,
240,0.103,0.055,0.13545383512973785,3.903482933058286e-05,,,,,,,,,,,
250,0.107,0.0574,0.09984652698040009,3.932557637875009e-05,,,,,,,,,,,
260,0.112,0.0529,0.10620806366205215,3.960491859880434e-05,,,,,,,,,,,
270,0.116,0.0584,0.13561475276947021,3.9873717051374605e-05,,,,,,,,,,,
280,0.12,0.0554,0.12894664704799652,4.013273881931472e-05,,,,,,,,,,,
290,0.124,0.051,0.11193158477544785,4.0382670204866126e-05,,,,,,,,,,,
300,0.129,0.052,0.10622165352106094,4.06241276886033e-05,,,,,,,,,,,
310,0.133,0.0521,0.11552610248327255,4.0857667090774864e-05,,,,,,,,,,,
320,0.137,0.0491,0.10952726751565933,4.108379127766475e-05,,,,,,,,,,,
330,0.142,0.0486,0.0897982269525528,4.130295668174929e-05,,,,,,,,,,,
340,0.146,0.0502,0.10602215677499771,4.151557884822644e-05,,,,,,,,,,,
350,0.15,0.048,0.09332979470491409,4.1722037177335156e-05,,,,,,,,,,,
360,0.155,0.0453,0.11142534762620926,4.1922678998456496e-05,,,,,,,,,,,
370,0.159,0.0487,0.10766535997390747,4.211782308589328e-05,,,,,,,,,,,
380,0.163,0.0431,0.10092591494321823,4.230776270570009e-05,,,,,,,,,,,
390,0.167,0.0416,0.09308883547782898,4.249276826667798e-05,,,,,,,,,,,
400,0.172,0.0467,0.10428549349308014,4.2673089635685196e-05,,,,,,,,,,,
410,0.176,0.0473,0.09064550697803497,4.284895816701395e-05,,,,,,,,,,,
420,0.18,0.0438,0.0973997637629509,4.302058848718836e-05,,,,,,,,,,,
430,0.185,0.0449,0.09134698659181595,4.318818006972424e-05,,,,,,,,,,,
440,0.189,0.0427,0.09592466801404953,4.3351918628831185e-05,,,,,,,,,,,
450,0.193,0.0425,0.09978211671113968,4.351197735647694e-05,,,,,,,,,,,
460,0.197,0.043,0.07276573777198792,4.366851802347586e-05,,,,,,,,,,,
470,0.202,0.042,0.08452697098255157,4.3821691962151775e-05,,,,,,,,,,,
480,0.206,0.0451,0.09690668433904648,4.3971640945538394e-05,,,,,,,,,,,
490,0.21,0.0441,0.09199375659227371,4.411849797592022e-05,,,,,,,,,,,
500,0.215,0.0414,0.08937859535217285,4.4262387993705636e-05,,,,,,,,,,,
510,0.219,0.0434,0.10174793004989624,4.440342851610008e-05,,,,,,,,,,,
520,0.223,0.0393,0.08803439140319824,4.454173021375989e-05,,,,,,,,,,,
530,0.227,0.0385,0.10993978381156921,4.467739743251607e-05,,,,,,,,,,,
540,0.232,0.0397,0.11315926909446716,4.481052866633014e-05,,,,,,,,,,,
