step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.003,0.682,1.7609809637069702,1.5570888528653944e-05,,,,,,,,,,,,,,,,,
20,0.006,0.3143,0.5202927589416504,2.0258193034918973e-05,,,,,,,,,,,,,,,,,
30,0.009,0.165,0.2868916392326355,2.300009040054531e-05,,,,,,,,,,,,,,,,,
40,0.012,0.1055,0.17380334436893463,2.4945497541184006e-05,,,,,,,,,,,,,,,,,
50,0.015,0.0778,0.20297566056251526,2.6454472551042853e-05,,,,,,,,,,,,,,,,,
60,0.018,0.0667,0.12745697796344757,2.7687394906810338e-05,,,,,,,,,,,,,,,,,
70,0.021,0.0596,0.11045169085264206,2.872981590549987e-05,,,,,,,,,,,,,,,,,
80,0.024,0.0529,0.10339871793985367,2.963280204744903e-05,,,,,,,,,,,,,,,,,
90,0.027,0.0526,0.11192173510789871,3.0429292272436677e-05,,,,,,,,,,,,,,,,,
100,0.03,0.046,0.09673582762479782,3.114177705730789e-05,,,,,,,,,,,,,,,,,
110,0.032,0.0445,0.09618958085775375,3.178629794380828e-05,,,,,,,,,,,,,,,,,
120,0.035,0.0459,0.07080414146184921,3.2374699413075374e-05,,,,,,,,,,,,,,,,,
130,0.038,0.0402,0.8753049969673157,3.2915976294658783e-05,,,,,,,,,,,,,,,,,
140,0.041,0.0427,0.09303019940853119,3.341712041176489e-05,,,,,,,,,,,,,,,,,
150,0.044,0.0372,0.08307716250419617,3.388367442293422e-05,,,,,,,,,,,,,,,,,
160,0.047,0.0385,0.09165312349796295,3.4320106553714064e-05,,,,,,,,,,,,,,,,,
170,0.05,0.0365,0.06854527443647385,3.4730071523637525e-05,,,,,,,,,,,,,,,,,
180,0.053,0.0358,0.08034677058458328,3.511659677870171e-05,,,,,,,,,,,,,,,,,
190,0.056,0.0319,0.06358753889799118,3.548221830470527e-05,,,,,,,,,,,,,,,,,
200,0.059,0.0313,0.07597069442272186,3.582908156357291e-05,,,,,,,,,,,,,,,,,
210,0.062,0.0291,0.07782212644815445,3.615901777739123e-05,,,,,,,,,,,,,,,,,
220,0.065,0.0347,0.06546347588300705,3.647360245007331e-05,,,,,,,,,,,,,,,,,
230,0.068,0.0315,0.07581261545419693,3.6774200869649036e-05,,,,,,,,,,,,,,,,,
240,0.071,0.0309,0.07157151401042938,3.70620039193404e-05,,,,,,,,,,,,,,,,,
250,0.074,0.0286,0.08885075896978378,3.7338056573431765e-05,,,,,,,,,,,,,,,,,
260,0.077,0.0288,0.06921854615211487,3.760328080092381e-05,,,,,,,,,,,,,,,,,
270,0.08,0.0293,0.062012821435928345,3.785849414432805e-05,,,,,,,,,,,,,,,,,
280,0.083,0.029,0.0635717511177063,3.810442491802993e-05,,,,,,,,,,,,,,,,,
290,0.086,0.0261,0.06125793233513832,3.834172473846529e-05,,,,,,,,,,,,,,,,,
300,0.089,0.0272,0.10562960058450699,3.857097892919925e-05,,,,,,,,,,,,,,,,,
310,0.092,0.0264,0.07580064237117767,3.879271521925194e-05,,,,,,,,,,,,,,,,,
