wall_time,step,tag,value
1741992009.980649,10,train/loss,0.7145000100135803
1741992059.000364,20,train/loss,0.3301999866962433
1741992106.9491951,30,train/loss,0.17990000545978546
1741992155.5483415,40,train/loss,0.1200999990105629
1741992204.5112066,50,train/loss,0.09549999982118607
1741992254.286957,60,train/loss,0.0794999971985817
1741992300.8702745,70,train/loss,0.06849999725818634
1741992349.4649968,80,train/loss,0.06639999896287918
1741992396.620301,90,train/loss,0.05590000003576279
1741992444.1554956,100,train/loss,0.0551999993622303
1741992491.9402115,110,train/loss,0.0494999997317791
1741992539.3550603,120,train/loss,0.05260000005364418
1741992586.9090314,130,train/loss,0.0478999987244606
1741992635.7616704,140,train/loss,0.046300001442432404
1741992683.4364638,150,train/loss,0.043800000101327896
1741992730.9952903,160,train/loss,0.04390000179409981
1741992778.583389,170,train/loss,0.039799999445676804
1741992826.9411094,180,train/loss,0.043800000101327896
1741992875.9874823,190,train/loss,0.040300000458955765
1741992923.839336,200,train/loss,0.03909999877214432
1741992971.649047,210,train/loss,0.03799999877810478
1741993021.0483708,220,train/loss,0.038100000470876694
1741993068.0895422,230,train/loss,0.035100001841783524
1741993116.1306624,240,train/loss,0.034299999475479126
1741993163.6979485,250,train/loss,0.03620000183582306
1741993210.3764899,260,train/loss,0.033799998462200165
1741993261.144813,270,train/loss,0.03669999912381172
1741993310.044704,280,train/loss,0.035100001841783524
1741993357.8543708,290,train/loss,0.031700000166893005
1741993406.3087587,300,train/loss,0.03220000118017197
1741993454.295276,310,train/loss,0.03280000016093254
1741993503.758684,320,train/loss,0.030899999663233757
1741993552.4229665,330,train/loss,0.030700000002980232
1741993600.811968,340,train/loss,0.03099999949336052
1741993649.53557,350,train/loss,0.030300000682473183
1741993698.3615222,360,train/loss,0.02879999950528145
1741993746.4114034,370,train/loss,0.030700000002980232
1741993792.2920604,380,train/loss,0.026799999177455902
1741993839.7022283,390,train/loss,0.02669999934732914
1741993887.693188,400,train/loss,0.029100000858306885
1741993936.704759,410,train/loss,0.02969999983906746
1741993984.8677773,420,train/loss,0.02800000086426735
1741994033.684338,430,train/loss,0.028699999675154686
1741994082.4618454,440,train/loss,0.0272000003606081
1741994130.4092412,450,train/loss,0.02759999968111515
1741994179.183844,460,train/loss,0.02710000053048134
1741994227.250895,470,train/loss,0.026599999517202377
1741994275.8466768,480,train/loss,0.02879999950528145
1741994324.2380867,490,train/loss,0.02759999968111515
1741994371.9719079,500,train/loss,0.025599999353289604
1741994420.4916892,510,train/loss,0.027699999511241913
1741994468.2763257,520,train/loss,0.024700000882148743
1741994515.4027915,530,train/loss,0.02410000003874302
1741994564.068368,540,train/loss,0.025200000032782555
1741994612.8763936,550,train/loss,0.026900000870227814
1741994662.1144252,560,train/loss,0.02590000070631504
1741994709.4785776,570,train/loss,0.02290000021457672
1741994757.0056043,580,train/loss,0.02290000021457672
1741994805.326959,590,train/loss,0.024900000542402267
1741994851.8836553,600,train/loss,0.02290000021457672
1741994898.5904174,610,train/loss,0.025299999862909317
1741994947.5412924,620,train/loss,0.02500000037252903
1741994996.9117005,630,train/loss,0.025200000032782555
1741995045.1490562,640,train/loss,0.02449999935925007
1741995093.1828158,650,train/loss,0.023800000548362732
1741995142.9615154,660,train/loss,0.024800000712275505
1741995192.3289835,670,train/loss,0.02370000071823597
1741995239.689463,680,train/loss,0.022700000554323196
1741995287.2253208,690,train/loss,0.02280000038444996
1741995335.7418714,700,train/loss,0.022299999371170998
1741995383.4171238,710,train/loss,0.022199999541044235
1741995433.004837,720,train/loss,0.023099999874830246
1741995479.6603923,730,train/loss,0.020800000056624413
1741995528.2879941,740,train/loss,0.02290000021457672
1741995577.390786,750,train/loss,0.021800000220537186
1741995625.698464,760,train/loss,0.02250000089406967
1741995673.89246,770,train/loss,0.021800000220537186
1741995724.379609,780,train/loss,0.02290000021457672
1741995771.8237445,790,train/loss,0.021400000900030136
1741995820.385863,800,train/loss,0.02160000056028366
1741995868.1111867,810,train/loss,0.021299999207258224
1741995916.7598453,820,train/loss,0.021299999207258224
1741995965.1989813,830,train/loss,0.021700000390410423
1741996013.0284472,840,train/loss,0.020999999716877937
1741996060.9417202,850,train/loss,0.02070000022649765
1741996109.0286875,860,train/loss,0.021400000900030136
1741996156.0838778,870,train/loss,0.020899999886751175
1741996204.3990214,880,train/loss,0.021700000390410423
1741996253.2985756,890,train/loss,0.022700000554323196
1741996301.8101463,900,train/loss,0.020500000566244125
1741996351.6230612,910,train/loss,0.0215000007301569
1741996399.4392624,920,train/loss,0.021700000390410423
1741996448.2960153,930,train/loss,0.01979999989271164
1741996497.0083187,940,train/loss,0.020800000056624413
1741996546.198412,950,train/loss,0.019899999722838402
1741996593.5616148,960,train/loss,0.019999999552965164
1741996640.7303214,970,train/loss,0.019999999552965164
1741996685.8589783,980,train/loss,0.01940000057220459
1741996732.6254275,990,train/loss,0.019999999552965164
1741996782.265022,1000,train/loss,0.019999999552965164
1741996830.7311962,1010,train/loss,0.020400000736117363
1741996878.1542037,1020,train/loss,0.020500000566244125
1741996928.79523,1030,train/loss,0.0210999995470047
1741996975.6054595,1040,train/loss,0.019500000402331352
1741997023.4873648,1050,train/loss,0.020400000736117363
1741997072.8603623,1060,train/loss,0.020400000736117363
1741997121.0349267,1070,train/loss,0.01979999989271164
1741997171.112124,1080,train/loss,0.020500000566244125
1741997218.9024289,1090,train/loss,0.019099999219179153
1741997266.8529944,1100,train/loss,0.020099999383091927
1741997315.275375,1110,train/loss,0.01940000057220459
1741997364.7335916,1120,train/loss,0.020899999886751175
1741997414.3730297,1130,train/loss,0.019500000402331352
1741997464.1143236,1140,train/loss,0.020800000056624413
1741997512.7247589,1150,train/loss,0.020500000566244125
1741997563.09603,1160,train/loss,0.02070000022649765
1741997869.2290611,1170,train/loss,0.0210999995470047
1741997918.1407475,1180,train/loss,0.01889999955892563
1741997966.230386,1190,train/loss,0.01850000023841858
1741998013.116736,1200,train/loss,0.019099999219179153
1741998062.5518973,1210,train/loss,0.020600000396370888
1741998109.5624666,1220,train/loss,0.01860000006854534
1741998156.013709,1230,train/loss,0.017899999395012856
1741998204.8592765,1240,train/loss,0.019300000742077827
1741998252.2089655,1250,train/loss,0.020899999886751175
1741998300.544003,1260,train/loss,0.020500000566244125
1741998349.4112403,1270,train/loss,0.019500000402331352
1741998398.0661206,1280,train/loss,0.019500000402331352
1741998446.046485,1290,train/loss,0.019899999722838402
1741998493.3591707,1300,train/loss,0.017400000244379044
1741998540.7173922,1310,train/loss,0.019600000232458115
1741998588.7388635,1320,train/loss,0.017899999395012856
1741998636.716751,1330,train/loss,0.018799999728798866
1741998683.8838246,1340,train/loss,0.01810000091791153
1741998732.3876538,1350,train/loss,0.018799999728798866
1741998779.993165,1360,train/loss,0.017999999225139618
1741998828.8322527,1370,train/loss,0.01850000023841858
1741998876.5811207,1380,train/loss,0.018200000748038292
1741998925.8964236,1390,train/loss,0.019200000911951065
1741998973.009761,1400,train/loss,0.018200000748038292
1741999020.1182737,1410,train/loss,0.01810000091791153
1741999067.8809202,1420,train/loss,0.017899999395012856
1741999115.847646,1430,train/loss,0.01769999973475933
1741999164.491387,1440,train/loss,0.019600000232458115
1741999211.2359006,1450,train/loss,0.01850000023841858
1741999259.7821834,1460,train/loss,0.018300000578165054
1741999306.3998945,1470,train/loss,0.017500000074505806
1741999355.7880156,1480,train/loss,0.017500000074505806
1741999403.351854,1490,train/loss,0.017899999395012856
1741999451.1641994,1500,train/loss,0.017999999225139618
1741999498.3071544,1510,train/loss,0.01679999940097332
1741999545.642894,1520,train/loss,0.017999999225139618
1741999593.4058356,1530,train/loss,0.01769999973475933
1741999640.2144852,1540,train/loss,0.018300000578165054
1741999689.193346,1550,train/loss,0.01810000091791153
1741999739.157723,1560,train/loss,0.01810000091791153
1741999787.3929908,1570,train/loss,0.01860000006854534
1741999836.151854,1580,train/loss,0.01850000023841858
1741999885.078953,1590,train/loss,0.017100000753998756
1741999932.5811327,1600,train/loss,0.017400000244379044
1741999981.6991694,1610,train/loss,0.017100000753998756
1742000027.8816469,1620,train/loss,0.017500000074505806
1742000076.6217859,1630,train/loss,0.019099999219179153
1742000125.7515485,1640,train/loss,0.01850000023841858
1742000174.499631,1650,train/loss,0.018699999898672104
1742000222.1862674,1660,train/loss,0.016699999570846558
1742000270.5062435,1670,train/loss,0.018400000408291817
1742000319.19863,1680,train/loss,0.01679999940097332
1742000367.4284933,1690,train/loss,0.018200000748038292
1742000415.3201296,1700,train/loss,0.01600000075995922
1742000463.5097547,1710,train/loss,0.016899999231100082
1742000511.0568972,1720,train/loss,0.01769999973475933
1742000558.7371235,1730,train/loss,0.017799999564886093
1742000605.7640438,1740,train/loss,0.01860000006854534
1742000654.4221673,1750,train/loss,0.017999999225139618
1742000702.326152,1760,train/loss,0.017100000753998756
1742000749.1474118,1770,train/loss,0.016499999910593033
1742000797.480968,1780,train/loss,0.017100000753998756
1742000847.4166787,1790,train/loss,0.01730000041425228
1742000896.5159588,1800,train/loss,0.017400000244379044
