method1,method2,method3,candidate,average,ai,literature,music,politics,science,movie,restaurant
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,30,0.8898305084243915,0.8095238094700682,0.7368421052112534,0.9640287769270326,0.9090909090392728,0.9090909090381544,0.999999999940909,0.8235294117065743
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,1,0.7213114753597061,0.6666666666145629,0.6506024095869938,0.7714285713774794,0.7962962962448217,0.6849315067978983,0.799999999946,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,2,0.7586206896050388,0.6666666666145629,0.6506024095869938,0.8652482268991498,0.8148148147633059,0.7105263157384694,0.8205128204586457,0.6341463414117787
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,3,0.7889908256379287,0.6774193547865245,0.6829268292166567,0.8999999999487245,0.8518518518002743,0.7499999999482638,0.8205128204586457,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,4,0.8036697247204948,0.6984126983604938,0.6829268292166567,0.9064748200925832,0.8623853210493393,0.7887323943142234,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,5,0.8066298342039966,0.6984126983604938,0.6913580246397196,0.9130434782095462,0.8623853210493393,0.7887323943142234,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,10,0.8424908424406882,0.7187499999478026,0.7499999999482501,0.9420289854558812,0.9090909090392728,0.8493150684412836,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,20,0.8671586715365586,0.7301587301064247,0.7654320987136107,0.9710144927022158,0.9090909090392728,0.8857142856619183,0.8947368420506926,0.7619047618521542
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,30,0.8810408921431557,0.7666666666141667,0.7654320987136107,0.9710144927022158,0.9090909090392728,0.8985507245851713,0.9743589743040106,0.780487804825699
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,40,0.8921775898018202,0.7999999999464691,0.7466666666147556,0.9710144927022158,0.9090909090392728,0.9117647058297144,0.99999999994,0.8235294117065743
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,1,0.7099099098597951,0.6557377048658963,0.5925925925411979,0.7659574467574468,0.8035714285200574,0.7105263157384694,0.7499999999462501,0.5454545454024794
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,2,0.7486437612518617,0.6666666666145629,0.6585365853142773,0.8085106382467482,0.8214285713771683,0.7123287670717959,0.8205128204586457,0.6511627906453218
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,3,0.7882136279424897,0.6774193547865245,0.6829268292166567,0.8794326240622503,0.867924528250267,0.7536231883537072,0.8205128204586457,0.6818181817654959
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,4,0.8059149722234228,0.6774193547865245,0.6913580246397196,0.9064748200925832,0.8785046728455586,0.7999999999478775,0.8421052631036011,0.6818181817654959
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,5,0.8124999999498513,0.6984126983604938,0.6913580246397196,0.9064748200925832,0.8785046728455586,0.8169014083986509,0.8421052631036011,0.7111111110581728
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,10,0.8413284132339803,0.7096774193025494,0.7594936708343535,0.9420289854558812,0.9174311926088712,0.8169014083986509,0.8421052631036011,0.7111111110581728
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,20,0.8692449354931195,0.7419354838185744,0.7749999999481875,0.9640287769270326,0.9174311926088712,0.8985507245851713,0.8717948717404339,0.7555555555024197
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,30,0.8777777777276214,0.7419354838185744,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.8985507245851713,0.947368420997784,0.7727272726741736
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,40,0.8884758363810726,0.7666666666141667,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.9117647058297144,0.9743589743040106,0.8181818181285124
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,50,0.8971553610001323,0.7999999999464691,0.7567567567048574,0.969230769179278,0.9174311926088712,0.9206349205820106,0.99999999994,0.8749999999390625
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,1,0.7182320441487642,0.5937499999481933,0.5249999999488124,0.863309352466746,0.7636363635849918,0.8285714285192244,0.7179487178950691,0.4878048779978585
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,2,0.750462107158738,0.656249999947998,0.54999999994875,0.8776978416753584,0.7962962962448217,0.8571428570905714,0.7894736841565098,0.5238095237580499
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,3,0.7569573283357678,0.656249999947998,0.5569620252652459,0.8920863308839708,0.7962962962448217,0.8571428570905714,0.8108108107567569,0.5238095237580499
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,4,0.7717996288923511,0.656249999947998,0.5822784809613843,0.9064748200925832,0.7962962962448217,0.8571428570905714,0.8648648648105187,0.5714285713768709
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,5,0.779220779170643,0.656249999947998,0.5822784809613843,0.9208633093011956,0.7962962962448217,0.8571428570905714,0.9189189188642805,0.5714285713768709
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=10,10,0.8203124999498588,0.7142857142332272,0.6666666666152532,0.9275362318327136,0.8623853210493393,0.8823529411239186,0.937499999944336,0.5161290322072841
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=20,1,0.7316176470086897,0.6229508196201021,0.6097560975095182,0.863309352466746,0.7889908256366298,0.7777777777259645,0.6315789473152355,0.5581395348318009
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=20,2,0.7763401108555908,0.6779661016427464,0.6172839505658284,0.8823529411251837,0.8468468467953575,0.8169014083986509,0.799999999946,0.6046511627385615
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=20,3,0.7889908256379287,0.6885245901116905,0.6341463414118976,0.8920863308839708,0.8468468467953575,0.8333333332813658,0.8421052631036011,0.6190476189956917
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=20,4,0.7955801104470925,0.6885245901116905,0.6666666666150891,0.8985507245863789,0.8468468467953575,0.8333333332813658,0.8421052631036011,0.6190476189956917
roberta-large-num=10,checkpoint-15244,beam-rerank-cand=20,5,0.8124999999498513,0.6885245901116905,0.7073170731190361,0.9264705881839423,0.8468468467953575,0.8333333332813658,0.8717948717404339,0.6511627906453218
