model,epoch,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,loss,train_loss,grad_norm,eval_runtime,train_runtime
roberta-large,10.0,0.9936918344301234,0.9641868657217143,0.961043303795352,0.9673510602490744,0.05239960551261902,0.0045,0.024522627296100174,0.14539779722690582,6.5934,989.2126
ModernBERT-base,1.0,0.9801604298898018,0.8795663052543786,0.8718584656084656,0.8874116459104678,0.07601597905158997,0.2093,,1.7860890626907349,9.011,
ModernBERT-base,2.0,0.9860207935828044,0.9162132752992382,0.9114071606994172,0.921070346684618,0.06189662963151932,0.0437,,0.8336851596832275,7.2328,
ModernBERT-base,3.0,0.9874420778007087,0.9237472766884531,0.9198931909212283,0.9276337933355773,0.05267902836203575,0.0189,,0.854528546333313,6.72,
ModernBERT-base,4.0,0.9884544994353802,0.9285654607736653,0.922017587522814,0.9352070010097611,0.06139647588133812,0.0079,,0.9222989082336426,7.2461,
ModernBERT-base,5.0,0.9886491959035864,0.9343552149283572,0.9251072253381722,0.9437899697071693,0.06612978875637054,0.0041,,0.29701218008995056,7.2257,
ModernBERT-base,6.0,0.9870721545111172,0.9196800533244459,0.9107260726072607,0.9288118478626725,0.06761008501052856,0.0025,,1.5703026056289673,7.2252,
ModernBERT-base,7.0,0.9866243526342432,0.921153525587598,0.9124834874504624,0.9299899023897678,0.08483070135116577,0.0016,,0.0056672655045986176,7.6815,
ModernBERT-base,8.0,0.9888049530781512,0.9335901515785947,0.9291548591431905,0.9380679905755638,0.06898950040340424,0.0019,,0.06567222625017166,7.2336,
ModernBERT-base,9.0,0.9887465441376894,0.9350000000000002,0.9260482007263123,0.9441265567149109,0.07912057638168335,0.0019,,0.11913072317838669,7.2003,
ModernBERT-base,10.0,0.9887660137845099,0.935678391959799,0.9313104368122708,0.9400875126220128,0.08135485649108887,0.0024,0.029425697636224143,0.4457869827747345,7.2201,804.2354
ModernBERT-large,1.0,0.9867217008683462,0.9183930218904639,0.9153987627487042,0.9214069336923595,0.05738820880651474,0.1383,,2.3663244247436523,10.8147,
ModernBERT-large,2.0,0.9911802499902652,0.9461969709647728,0.9409219504077218,0.9515314708852238,0.03991208225488663,0.0266,,0.7213716506958008,8.6916,
ModernBERT-large,3.0,0.9906350998792882,0.9421087754421087,0.9340059543499835,0.9503534163581285,0.050806909799575806,0.0102,,0.7426340579986572,8.1765,
